"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F9I0","2019-08-14 00:00:00","194.000","199.000","2.200","27.300","0.870","981.700","-99.000","46.500","-99.000","-99.000","-99.000","29.700","","24.100",""
"C0T820","2019-08-14 00:00:00","550.000","0.000","0.000","23.800","0.900","947.300","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","20.800",""
"C0S890","2019-08-14 00:00:00","238.000","196.000","0.500","27.200","0.960","980.300","-99.000","2.000","-99.000","-99.000","-99.000","35.000","","25.500",""
"C0M530","2019-08-14 00:00:00","1385.000","82.000","0.300","18.700","0.980","863.600","-99.000","34.500","-99.000","-99.000","-99.000","26.200","","18.100",""
"C0R170","2019-08-14 00:00:00","26.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0I420","2019-08-14 00:00:00","305.000","0.000","0.000","24.900","0.960","970.500","-99.000","11.500","-99.000","-99.000","-99.000","31.600","","23.000",""
"C0A640","2019-08-14 00:00:00","241.000","0.000","0.000","24.900","0.900","978.800","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","24.100",""
"C0A930","2019-08-14 00:00:00","216.000","224.000","3.100","29.400","0.670","976.900","-99.000","0.000","10.400","256.000","","32.300","","24.200",""
"C0F9M0","2019-08-14 00:00:00","230.000","176.000","1.500","26.900","0.840","978.100","-99.000","24.000","-99.000","-99.000","-99.000","30.200","","23.900",""
"C0AC40","2019-08-14 00:00:00","1079.000","259.000","8.600","21.400","0.990","886.900","-99.000","0.000","-99.000","-99.000","-99.000","27.100","","20.400",""
"C0AI00","2019-08-14 00:00:00","188.000","212.000","0.500","27.200","0.850","982.200","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","26.300",""
"C0T9M0","2019-08-14 00:00:00","92.000","254.000","0.600","27.500","0.850","994.500","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","26.600",""
"C0K430","2019-08-14 00:00:00","30.000","153.000","2.000","26.700","0.910","1001.200","-99.000","119.500","-99.000","-99.000","-99.000","28.200","","22.400",""
"C0Z170","2019-08-14 00:00:00","199.000","280.000","0.400","27.500","0.830","983.100","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","25.900",""
"C0Z100","2019-08-14 00:00:00","36.000","0.000","0.200","27.000","0.920","1001.100","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.600",""
"C0U710","2019-08-14 00:00:00","1942.000","0.000","0.000","16.500","0.930","804.200","-99.000","0.000","-99.000","-99.000","-99.000","22.900","","15.500",""
"C0SA30","2019-08-14 00:00:00","92.000","210.000","1.200","28.600","0.790","994.300","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","27.000",""
"C0V500","2019-08-14 00:00:00","6.000","61.000","0.400","27.700","0.920","1002.000","-99.000","49.500","-99.000","-99.000","-99.000","28.700","","25.400",""
"CM0160","2019-08-14 00:00:00","196.000","139.000","0.600","25.700","0.920","987.300","-99.000","18.000","-99.000","-99.000","-99.000","32.900","","23.600",""
"C0V350","2019-08-14 00:00:00","36.000","0.000","0.000","26.000","0.940","1001.600","-99.000","164.500","-99.000","-99.000","-99.000","29.900","","24.700",""
"C0W120","2019-08-14 00:00:00","58.000","188.000","7.600","26.500","0.980","997.200","-99.000","0.500","-99.000","-99.000","-99.000","26.700","","25.100",""
"C0R470","2019-08-14 00:00:00","103.000","355.000","2.300","26.500","0.990","993.500","-99.000","69.000","-99.000","-99.000","-99.000","31.000","","24.800",""
"C0M770","2019-08-14 00:00:00","164.000","186.000","1.500","27.300","0.860","985.100","-99.000","85.000","-99.000","-99.000","-99.000","29.300","","22.800",""
"C0S930","2019-08-14 00:00:00","248.000","264.000","1.500","26.900","0.790","977.000","-99.000","5.000","-99.000","-99.000","-99.000","33.500","","24.700",""
"C0A9B0","2019-08-14 00:00:00","7.000","35.000","0.300","29.600","0.730","1001.700","-99.000","0.000","-99.000","-99.000","-99.000","36.300","","27.400",""
"C0F9Y0","2019-08-14 00:00:00","3313.000","339.000","1.800","9.600","0.570","684.800","-99.000","1.000","-99.000","-99.000","-99.000","15.300","","9.000",""
"C0E790","2019-08-14 00:00:00","344.000","178.000","1.900","26.800","0.910","965.200","-99.000","10.500","-99.000","-99.000","-99.000","30.000","","23.800",""
